sku;Descrição;Novo Pr.Custo Real;custo;Novo Pr. Venda 3
13263;MAZ - MAZAVED KIT M265 ALCATRAO HULHA MAZA 3,6L;173,8072;65,45;623,4192
13264;MAZ - ESM BR TABACO MAZA 18L;313,2011;46,98;649,3635
13273;MAZ - ESM BR AZUL DEL REY MAZA 18L;341,3333;46,98;707,6825
13362;MAZ - MAZATHANE CINZA CLARO KIT M677 3,6L MAZA;293,5868;61,82;920,9435
13403;MAZ - ACR PREMIUM FOSCO MAZA BASE B1 16L;239,7576;52,99;576,2732
13458;XPT - MASSA NIVELADORA (REGULARIZADORA) BARRICA 23KG XPERT/ MOOCOCA;46,5567;51,15;156,8322
13485;MAZ - ES IND ALUMINIO OPALESC.  MAZA 3,6L;88,6942;62,08;280,7598
13487;MAZ - ES IND BRANCO PURO MAZA 3,6L;96,6722;59,48;280,5492
13488;MAZ - ES IND CINZA CHASSIS 78  MAZA 3,6L;88,6942;62,08;280,7598
13490;MAZ - ES IND PRETO CADILLAC MAZA 3,6L;80,1322;59,98;236,3615
13492;MAZ - ESM IND PRETO FOSCO MAZA 3,6L;80,1322;68,62;328,6584
13506;MAZ - SPRAY METALICO ROSE GOLD MAZA;19,427;20,79;25,2
13630;XPT - TEXTURA ARENATO BARRICA 23KG XPERT;72,11;42,82;175,2776
13644;MAZ - REVESTIMENTO CIMENTO QUEIMADO CINZA MAZA 23KG;162,9642;60,64;491,1084
13684;MAZ - ESM AMARELO DIRETO NA FERRUGEM MAZA 3,6L;122,8871;16,53;150,2598
13704;MAZ - REVESTIMENTO CIMENTO QUEIMADO PLATINA MAZA 5,6KG;60,9477;56,19;160,0362
13718;MAZ - REVESTIMENTO CIMENTO QUEIMADO CINZA MAZA 5,6KG;60,9477;60,7;184,0413
13737;MAZ - REVESTIMENTO CIMENTO QUEIMADO PLATINA MAZA 23KG;162,9642;67,94;648,2648
13783;MAZ - VERNIZ BR PU KIT 5X1 MAZA 3,6L;240,584;49,64;531,0683
13825;MAZ - ACR PREMIUM FOSCO MAZA BASE A 3,2L;62,7107;62,52;201,5955
13991;MAZ - REVESTIMENTO CIMENTO QUEIMADO ROSE GOLD 5KG;60,9477;60,7;184,0413
14035;MAZ - REVESTIMENTO CIMENTO QUEIMADO CHUMBO MAZA 23KG;162,9642;64,4;561,335
14260;MAZ - SPRAY USO GERAL BEGE BRASTEMP;11,5372;61,91;36,3
14261;MAZ - SPRAY METALICO GRAFITE RODAS MAZA;11,5372;20,48;14,9
14262;MAZ - SPRAY VERNIZ MOGNO BRILHANTE MAZA;13,5537;20,86;17,6
14263;MAZ - SPRAY VERNIZ IMBUIA BRILHANTE MAZA;13,5537;20,86;17,6
14330;MAZ - CIMENTO QUEIMADO CINZA CHUMBO MAZA 5,6KG;60,9477;60,7;184,0413
14439;MAZ - PRIMER ACAB CINZA MEDIO MAZA 18L;381,697;47,39;798,9466
14616;MAZ - ES IND PRETO CADILAC MAZA 900ML;26,9201;62,6;86,7704
14617;MAZ - ES IND PRETO FOSCO MAZA 900ML;26,9201;65,44;96,5344
14634;MAZ - SPRAY ALTA TEMP BRANCO MAZA;15,6915;20,6;20,3
14635;MAZ - MASSA MADEIRA BRANCO 350GR MOCOCA;5,4708;63,15;41,4509
14636;MAZ - MASSA MADEIRA IMBUIA 350GR MOCOCA;5,4708;63,15;41,4509
14637;MAZ - MASSA MADEIRA MOGNO 350GR MOCOCA;7,7663;59,12;41,4509
14699;MAZ - MASSA ACR MAZA BALDE 23KG;78,5979;53,88;302,9561
14797;MAZ - REVESTIMENTO CIMENTO QUEIMADO 3 EM 1 MAZA 23KG;199,6694;60;589,3374
14878;MAZ - REVESTIMENTO CIMENTO QUEIMADO BASE MAZA 20KG;180,4298;51,58;418,0059
14879;MAZ - REVESTIMENTO CIMENTO QUEIMADO BASE MAZA 5KG;66,0606;63,13;217,0176
14919;MAZ - REVESTIMENTO CIMENTO QUEIMADO TERRACOTA MAZA 5,6KG;60,9477;60,7;184,0413
14971;MAZ - REVESTIMENTO CIMENTO QUEIMADO CAMURCA MAZA 23KG;162,9642;65,66;589,3374
14979;MAZ - THINNER 100 MAZA 5L (LIMPEZA);47,5326;46,9;133,76
15018;MAZ - ADESIVO (COLA) DE CONTATO MAZA 2,80 KG;69,6632;44,19;177,4477
15020;MAZ - MASSA MADEIRA NOGUEIRA 350 GR MOCOCA;5,4708;63,6;43,4774
